Contexto,Ley,Artículos,Fracciones
"CUARTO.- Plazo previsto en el artículo 42 de la LFT.- En virtud de que Axtel solicitó a Telmex y Telnor con fecha 31 de julio de 2009, el inicio formal de negociaciones de los términos, condiciones y tarifas aplicables para la interconexión de sus respectivas redes  públicas de telecomunicaciones a partir del 10 de enero de 2010 y hasta el 31 de diciembre de 2010, Y dado que ha transcurrido en exceso el plazo legal de 60 (sesenta) días, sin que a la fecha de emisión de la presente Resolución las partes hayan acordado los términos y condiciones, esta Comisión de conformidad con los artículos 9-A fracción X y 42 de la LFT, 8 Y 9 del Plan de Interconexión, se aboca a resolver sobre aquellos puntos de desacuerdo que se someten a su consideración.","LFT","42",""
"CUARTO.- Plazo previsto en el artículo 42 de la LFT.- En virtud de que Axtel solicitó a Telmex y Telnor con fecha 31 de julio de 2009, el inicio formal de negociaciones de los términos, condiciones y tarifas aplicables para la interconexión de sus respectivas redes  públicas de telecomunicaciones a partir del 10 de enero de 2010 y hasta el 31 de diciembre de 2010, Y dado que ha transcurrido en exceso el plazo legal de 60 (sesenta) días, sin que a la fecha de emisión de la presente Resolución las partes hayan acordado los términos y condiciones, esta Comisión de conformidad con los artículos 9-A fracción X y 42 de la LFT, 8 Y 9 del Plan de Interconexión, se aboca a resolver sobre aquellos puntos de desacuerdo que se someten a su consideración.","LFT","42",""
"De igual forma, se advierte que el plazo de 60 (sesenta) días naturales establecido en el artículo 42 de la LFT para que Axtel, Telmex y Telnor acordaran los términos, condiciones y tarifas de interconexión, ha transcurrido en exceso desde la fecha en que Axtel solicitó a Telmex y Telnor el inicio de negociaciones al 16 de octubre de 2009, fecha de la solicitud presentada por Axtel ante la Comisión. En la Solicitud de Resolución, Axtel señala que al momento de presentar la misma no había alcanzado un acuerdo con Telmex y Telnor. Lo cual quedó corroborado con las Respuestas de Telmex y Telnor, de las cuales se desprende que no han convenido las condiciones de interconexión propuestas por Axtel.","LFT para ","42",""
"De igual forma, en el segundo argumento de las Respuestas de Telmex y Telnor, dichos concesionarios señalan que la Comisión carece de facultades para iniciar un procedimiento de desacuerdo en los términos planteados en el Oficio de Vista, ya que existen términos y condiciones de interconexión convenidos entre las partes, los cuales están vigentes para todos los efectos a que haya lugar. En el caso concreto, no se actualiza la hipótesis normativa contenida en el artículo 42 de la LFT, ya que el requisito para que proceda el desacuerdo es que las partes no hayan acordado los términos y condiciones de interconexión, siendo que Telmex, Telnor y Axtel sí dieron cumplimiento a dicho artículo mediante la suscripción y celebración del Convenio Axtel-Telmex y el Convenio Axtel-Telnor, los cuales están inscritos en el Registro de Telecomunicaciones de la Comisión.","LFT","42",""
"Asimismo, Axtel manifiesta que la cláusula de aplicación continua se estableció para asegurar la prestación del servicio en beneficio del interés público, pero también se aprecia que las condiciones convenidas en el Convenio Axtel-Telmex y en el Convenio Axtel-Telnor, sólo estarían vigentes por el plazo acordado y posteriormente se acordarían las nuevas condiciones aplicables, o en su defecto se utilizaría el procedimiento contenido en el artículo 42 de la LFT.","LFT","42",""
"Al respecto, esta Comisión como ya se mencionó, está facultada en términos de lo dispuesto por el artículo 9-A fracción X y 42 de la LFT, para determinar las condiciones que, en materia de interconexión, no hayan podido convenirse entre los concesionarios de redes públicas de telecomunicaciones interesados. En este sentido, el artículo 9 fracción VIII del Reglamento Interno vigente de la Comisión es consistente con la facultad anteriormente señalada, al establecer que corresponde al Pleno de dicho órgano el ejercicio de la atribución relativa a la resolución de condiciones de interconexión que no hayan podido convenirse entre los concesionarios de, las redes públicas de telecomunicaciones de que se trate.","LFT","9-A","X"
"Al respecto, esta Comisión como ya se mencionó, está facultada en términos de lo dispuesto por el artículo 9-A fracción X y 42 de la LFT, para determinar las condiciones que, en materia de interconexión, no hayan podido convenirse entre los concesionarios de redes públicas de telecomunicaciones interesados. En este sentido, el artículo 9 fracción VIII del Reglamento Interno vigente de la Comisión es consistente con la facultad anteriormente señalada, al establecer que corresponde al Pleno de dicho órgano el ejercicio de la atribución relativa a la resolución de condiciones de interconexión que no hayan podido convenirse entre los concesionarios de, las redes públicas de telecomunicaciones de que se trate.","LFT","42","X"
"Es así, que para que esta Comisión pueda ejercer la facultad consagrada en la segunda parte del artículo 9-A fracción X de la LFT, en relación con lo establecido por el artículo 42 de la LFT, sólo requiere la acreditación de un presupuesto esencial, como lo es, la existencia de condiciones no convenidas en materia de interconexión entre concesionarios de redes públicas de telecomunicaciones, de tal suerte que, de acreditarse este presupuesto, puede materializarse la hipótesis normativa consagrada en dicho precepto y, por lo tanto, la Comisión queda facultada para ejercer las atribuciones establecidas en la legislación de la materia.","LFT","9-A","X"
"Es así, que para que esta Comisión pueda ejercer la facultad consagrada en la segunda parte del artículo 9-A fracción X de la LFT, en relación con lo establecido por el artículo 42 de la LFT, sólo requiere la acreditación de un presupuesto esencial, como lo es, la existencia de condiciones no convenidas en materia de interconexión entre concesionarios de redes públicas de telecomunicaciones, de tal suerte que, de acreditarse este presupuesto, puede materializarse la hipótesis normativa consagrada en dicho precepto y, por lo tanto, la Comisión queda facultada para ejercer las atribuciones establecidas en la legislación de la materia.","LFT","9-A","X"
""APLICACIÓN CONTINUA: Sin embargo, si al concluir el plazo inicial del presente Convenio, que vence el 31 de diciembre de 2003 en los términos del sub-inciso 16.1 precedente, AXTEL continúa contando con una Red Pública de Telecomunicaciones de Larga Distancia y con la concesión correspondiente de la Secretaría, no obstante haber terminado el presente Convenio por haber vencido su plazo, sus términos y condiciones continuarán aplicándose, incluyendo la contraprestaciones pactadas ajustadas conforme se hubiese previsto en las mismas y a lo pactado, hasta que, conforme a lo previsto por el Artículo 42 de la Ley Federal de Telecomunicaciones, las partes celebren un nuevo convenio para continuar con la interconexión de sus redes; [...]","Ley Federal de Telecomunicaciones","42",""
"En todo caso, las parles podrán utilizar el procedimiento contenido en el Artículo 42 de la Ley Federal de Telecomunicaciones para que en todo momento exista vigente un Convenio." [Énfasis añadido].","Ley Federal de Telecomunicaciones para ","42",""
""APLICACIÓN CONTINUA: Sin embargo, si al concluir el plazo inicial del presente Convenio, que vence el 31 de diciembre de 2003 en los términos del sub-inciso 16.1 precedente, AXTEL continúan contando con una Red Pública de Telecomunicaciones de Larga Distancia y con la concesión correspondiente de la Secretaría, no obstante haber terminado el presente Convenio por haber vencido su plazo, sus términos y condiciones continuarán aplicándose, incluyendo la contraprestaciones pactadas ajustadas conforme se hubiese previsto en las mismas y a lo pactado, hasta que, conforme a lo previsto por el Artículo 42 de la Ley Federal de Telecomunicaciones, las partes celebren un nuevo convenio para continuar con la interconexión de sus redes; [. . .]","Ley Federal de Telecomunicaciones","42",""
"En todo caso, las parles podrán utilizar el procedimiento contenido en el Artículo 42 de la Ley Federal de Telecomunicaciones para que en todo momento exista vigente un Convenio. [...]”  [Énfasis añadido].","Ley Federal de Telecomunicaciones para ","42",""
"No obstante lo anterior, también se estableció claramente en los respectivos convenios que las partes podrían acudir ante la Comisión para resolver cualquier desacuerdo de interconexión en términos del artículo 42 de la LFT, es decir, las partes expresamente dejaron a salvo su derecho de solicitar la intervención de la autoridad en caso de que no pudieran llegar a un acuerdo respecto de los términos y condiciones de la interconexión entre sus redes. Lo anterior resulta lógico ya que asumir lo contrario sería tanto como obligar a las partes a quedar sujetas a términos y condiciones inamovibles que en un sector tan dinámico y competitivo como el de las telecomunicaciones puede resultar arcaico y anticompetitivo para el sector.","LFT","42",""
"
Tan es así, que en la parte final del numeral 16.2. de la Cláusula Decimosexta de los multicitados convenios, se prevé expresamente que para la celebración de los nuevos convenios las partes pueden utilizar el procedimiento contenido en el artículo 42 de la LFT, esto es, que de no llegar a un acuerdo en la celebración de los nuevos convenios, dentro de un plazo de sesenta días contado a partir de que alguna de ellas lo solicite, la autoridad competente, en la especie, la Comisión, resolverá sobre las condiciones que no hayan podido convenir.","LFT","42",""
"
En este orden de ideas, no resulta fundado y en consecuencia atendible lo señalado por Telnor respecto a que no se actualiza la hipótesis normativa contenida en el artículo 42 de la LFT, en el sentido de que Axtel, Telmex y Telnor tienen suscrito un convenio de interconexión, debido a que como ya quedó estipulado, la Condición 16.2 de la Cláusula Decimosexta del Convenio Axtel-Telmex y del Convenio Axtel-Telnor establece que al concluir el plazo inicial de dichos convenios las partes podrían celebrar nuevos convenios siguiendo el procedimiento previsto en el supracitado artículo 42. Es decir, vencido el plazo de éste podrían las partes proponer nuevos términos y condiciones para la celebración de los nuevos convenios.","LFT","42",""
"
Por tanto, si bien a la fecha ha operado entre Axtel, Telmex y Telnor el acuerdo para la aplicación continúa de los términos, condiciones y contraprestaciones del Convenio  Axtel-Telmex y del Convenio Axtel-Telnor, éstos tienen como vigencia la condición de la celebración de los nuevos convenios de interconexión conforme al procedimiento establecido en el artículo 42 de la LFT.","LFT","42",""
"
Ahora bien, la aplicación continua de los términos y condiciones del Convenio Axtel-Telmex y del Convenio Axtel-Telnor, terminaría en el caso de que conforme a lo previsto por el artículo 42 de la LFT las partes celebren nuevos convenios, para lo cual se  sujetarían al procedimiento contenido en dicho precepto legal. En este tenor, las solicitudes formuladas por Axtel a Telmex y Telnor a efecto de modificar los términos y condiciones de interconexión, consistieron en peticiones para acordar nuevos convenios de interconexión y una vez transcurrido el plazo de 60 (sesenta) días establecido para tal efecto en la legislación aplicable, sin que las partes llegaran a un acuerdo, es que Axtel solicitó la intervención de esta autoridad para resolver las condiciones que no convinieron para la interconexión de sus redes públicas de telecomunicaciones.","LFT las ","42",""
"
Por otra parte, es importante señalar que Axtel, Telmex y Telnor reconocen expresamente la facultad que tiene la autoridad para resolver las condiciones de interconexión conforme a lo establecido en el artículo 42 de la LFT, al haber estipulado en el numeral 16.2 de los Convenios de Interconexión, que la vigencia en la aplicación continua de los términos, condiciones y contraprestaciones está sujeta a la condición de la celebración de nuevos convenios conforme al procedimiento previsto en el precepto legal en cita. 
	 	 	","LFT","42",""
"Al ofrecer tanto Axtel, Telmex y Telnor como pruebas documentales el Convenio Axtel- Telmex y el Convenio Axtel-Telnor, se les otorga pleno valor probatorio en términos de los artículos 197 y 203 del Código Federal de Procedimientos Civiles (en lo sucesivo, el "CFPC"), de aplicación supletoria conforme al artículo 8 fracción V de la LFT.","LFT","197",""
"Al ofrecer tanto Axtel, Telmex y Telnor como pruebas documentales el Convenio Axtel- Telmex y el Convenio Axtel-Telnor, se les otorga pleno valor probatorio en términos de los artículos 197 y 203 del Código Federal de Procedimientos Civiles (en lo sucesivo, el "CFPC"), de aplicación supletoria conforme al artículo 8 fracción V de la LFT.","LFT","203",""
"En este sentido y dado el análisis efectuado, se desprende que los supuestos requeridos por el artículo 42 de la LFT se materializaron y es así que la Comisión tiene facultades· para intervenir y resolver las condiciones de interconexión antes señaladas que Axtel no pudo convenir con Telmex y Telnor. Lo anterior, en concordancia con lo pactado por las partes en el numeral 16.2 de la cláusula Decimosexta del Convenio Axtel-Telmex y del Convenio Axtel-Telnor, en el 'sentido de que los referidos concesionarios continuarían aplicando los términos, condiciones y contraprestaciones hasta que conforme a lo previsto por el artículo 42 de la LFT, las partes celebren un nuevo convenio para continuar con la interconexión de sus redes. ","LFT","42",""
"En este sentido y dado el análisis efectuado, se desprende que los supuestos requeridos por el artículo 42 de la LFT se materializaron y es así que la Comisión tiene facultades· para intervenir y resolver las condiciones de interconexión antes señaladas que Axtel no pudo convenir con Telmex y Telnor. Lo anterior, en concordancia con lo pactado por las partes en el numeral 16.2 de la cláusula Decimosexta del Convenio Axtel-Telmex y del Convenio Axtel-Telnor, en el 'sentido de que los referidos concesionarios continuarían aplicando los términos, condiciones y contraprestaciones hasta que conforme a lo previsto por el artículo 42 de la LFT, las partes celebren un nuevo convenio para continuar con la interconexión de sus redes. ","LFT","42",""
"Sin perjuicio de lo anterior, es importante señalar que los artículos 9-A fracción X y 42 de la LFT facultan lisa y llanamente a la autoridad para determinar las condiciones de interconexión que no hayan podido convenir dos o más concesionarios, cuando éstas no han sido pactadas expresamente en algún convenio, o se refieren como en el caso que nos ocupa a un periodo diferente al convenido.","LFT","9-A","X"
"Sin perjuicio de lo anterior, es importante señalar que los artículos 9-A fracción X y 42 de la LFT facultan lisa y llanamente a la autoridad para determinar las condiciones de interconexión que no hayan podido convenir dos o más concesionarios, cuando éstas no han sido pactadas expresamente en algún convenio, o se refieren como en el caso que nos ocupa a un periodo diferente al convenido.","LFT","42","X"
"Por lo anterior, esta Comisión considera que los argumentos manifestados por T elmex y Telnor son improcedentes por infundados, y al haberse solicitado a dicho concesionario por parte de Axtel, con fecha 31 de julio de 2009, la aplicación de términos, condiciones y tarifas de la interconexión entre sus redes, sin que a la fecha de emisión de la presente Resolución dichos concesionarios hubieren celebrado los convenios de interconexión correspondientes, esta Comisión de conformidad con los artículos 9-A fracción X y 42 de la LFT, 8 Y 9 del Plan de Interconexión, se aboca a resolver sobre aquellos puntos de desacuerdo que se someten a su consideración. ","LFT","9-A","X"
"Por lo anterior, esta Comisión considera que los argumentos manifestados por T elmex y Telnor son improcedentes por infundados, y al haberse solicitado a dicho concesionario por parte de Axtel, con fecha 31 de julio de 2009, la aplicación de términos, condiciones y tarifas de la interconexión entre sus redes, sin que a la fecha de emisión de la presente Resolución dichos concesionarios hubieren celebrado los convenios de interconexión correspondientes, esta Comisión de conformidad con los artículos 9-A fracción X y 42 de la LFT, 8 Y 9 del Plan de Interconexión, se aboca a resolver sobre aquellos puntos de desacuerdo que se someten a su consideración. ","LFT","42","X"
"Al respecto, esta Comisión considera que los argumentos de Telmex y Telnor resultan improcedentes, en virtud de que como ha quedado manifestado en el considerando Cuarto de la presente Resolución, se materializó la hipótesis normativa prevista en el artículo 42 de la LFT, en el sentido de que Axtel solicitó a Telmex y Telnor el inicio de negociaciones para acodar los términos y condiciones de interconexión. Por tanto y dado que transcurrió el plazo de 60 (sesenta) días naturales, sin que a la fecha exista constancia de que los referidos concesionarios hayan convenido las condiciones de interconexión, es que la Comisión se encuentra plenamente facultada para intervenir en el procedimiento en que se actúa y resolver las cuestiones sometidas a desacuerdo por las partes. En este sentido, Axtel cumplió con los requisitos establecidos en el artículo 42 de la LFT.","LFT","42",""
"Al respecto, esta Comisión considera que los argumentos de Telmex y Telnor resultan improcedentes, en virtud de que como ha quedado manifestado en el considerando Cuarto de la presente Resolución, se materializó la hipótesis normativa prevista en el artículo 42 de la LFT, en el sentido de que Axtel solicitó a Telmex y Telnor el inicio de negociaciones para acodar los términos y condiciones de interconexión. Por tanto y dado que transcurrió el plazo de 60 (sesenta) días naturales, sin que a la fecha exista constancia de que los referidos concesionarios hayan convenido las condiciones de interconexión, es que la Comisión se encuentra plenamente facultada para intervenir en el procedimiento en que se actúa y resolver las cuestiones sometidas a desacuerdo por las partes. En este sentido, Axtel cumplió con los requisitos establecidos en el artículo 42 de la LFT.","LFT","42",""
"Asimismo, el artículo 42 de la LFT no hace distinción alguna respecto de los servicios que presten las redes que vayan a interconectarse, simplemente se limita a señalar la obligación de interconexión entre redes públicas de telecomunicaciones, por lo que el legislador sí previó que las redes públicas de telecomunicaciones que prestan el servicio de larga distancia tuvieran que interconectarse.","LFT","42",""
"El artículo 43 fracción IX de la LFT, dispone que en los convenios de interconexión, los concesionarios deben entregar la comunicación a su destino final o a un concesionario o combinación de concesionarios que puedan hacerlo, lo cual implica un esquema de interconexión eficiente de las redes públicas de telecomunicaciones que asegure la entrega de la llamada a su destino final, independientemente del servicio que preste el concesionario de la red pública de telecomunicaciones en cuestión.","LFT","43","IX"
"De lo antes expuesto, se desprende que el servicio de transporte interurbano sí es un servicio de interconexión en términos de lo establecido en los artículos 42 y 43 de la LFT, así como la fracción V del artículo 2 del Reglamento de Telecomunicaciones.","LFT","42",""
"De lo antes expuesto, se desprende que el servicio de transporte interurbano sí es un servicio de interconexión en términos de lo establecido en los artículos 42 y 43 de la LFT, así como la fracción V del artículo 2 del Reglamento de Telecomunicaciones.","LFT","43",""
"El anterior criterio fue confirmado y sostenido por el Octavo Tribunal Colegiado en Materia Administrativa del Primer Circuito, en el considerando Trigésimo Segundo de la resolución de fecha 12 de febrero de 2003, en el Toca número R.A. 2090/2001, del recurso de revisión que Telnor, interpuso en contra de la sentencia de fecha 31 de agosto de 2001, dictada por el Juez Segundo de Distrito en Materia Administrativa en el Distrito Federal, en el juicio de amparo indirecto número 762/2000, que Telnor promovió contra diversas autoridades, entre las cuales señaló al Pleno de esta Comisión y manifestó, entre otros actos de aplicación, la resolución número P/EXT/111 000/008 de fecha 11 de octubre de 2000, por la aplicación del artículo 42 de la LFT, por la que el Pleno de esta Comisión resolvió las condiciones no convenidas por Alestra, S. de R.L. de C.V., Telmex y Telnor en materia de interconexión de sus redes públicas de telecomunicaciones, para el periodo comprendido entre el 1° de enero y el 31 de diciembre de 2001.","LFT","42",""
"En los siguientes numerales esta Comisión en términos de lo dispuesto por los artículos 9-A fracción X y 42 de la LFT, se aboca a resolver sobre aquellos puntos de desacuerdo que en materia de interconexión fueron sometidos a consideración por Axtel, Telmex y Telnor.","LFT","9-A","X"
"En los siguientes numerales esta Comisión en términos de lo dispuesto por los artículos 9-A fracción X y 42 de la LFT, se aboca a resolver sobre aquellos puntos de desacuerdo que en materia de interconexión fueron sometidos a consideración por Axtel, Telmex y Telnor.","LFT","42","X"
"Al respecto, el artículo 43 fracción V de la LFT dispone que la interconexión se llevará a cabo en cualquier punto de conmutación u otros en que sea técnicamente factible. En este tenor, el artículo 16 del Plan de Interconexión establece la obligación de los concesionarios de señalar y poner a disposición de los demás concesionarios, un punto de interconexión con el que se podrá acceder a todos los usuarios de una o varias ASL en la que presten sus servicios. En una ASL podrá existir más de un punto de interconexión, siempre y cuando cada punto de interconexión cubra a todos los usuarios de una o varias ASL. Por su parte, el artículo 17 del Plan de Interconexión prevé, entre otros, que los concesionarios deberán permitir la interconexión en cualquiera de los niveles de la jerarquía de red.","LFT","43","V"
