Contexto,Entidad,Abreviatura
"Anteproyecto de Lineamientos Generales sobre los Derechos de las Audiencias (Anteproyecto)","Anteproyecto de Lineamientos Generales sobre los Derechos de las Audiencias ","Anteproyecto"
"Ley Federal de Telecomunicaciones y Radiodifusión (Ley)","Ley Federal de Telecomunicaciones y Radiodifusión ","Ley"
"Coordinación General de Mejora Regulatoria (CGMR)","Coordinación General de Mejora Regulatoria ","CGMR"
"Constitución Política de los Estados Unidos Mexicanos (Constitución)","Constitución Política de los Estados Unidos Mexicanos ","Constitución"
"Lineamientos Generales sobre la Defensa de las Audiencias (Lineamientos)","Lineamientos Generales sobre la Defensa de las Audiencias ","Lineamientos"
"Suprema Corte de Justicia de la Nación (SCJN)","Suprema Corte de Justicia de la Nación ","SCJN"
"Ley General de Derechos de las Niñas, Niños y Adolescentes, (LGDNNA)","Ley General de Derechos de las Niñas, Niños y Adolescentes, ","LGDNNA"
"World Wide Web Consortium (W3C)","World Wide Web Consortium ","W3C"
"Lineamientos Generales sobre la Defensa de las Audiencias (Lineamientos)","Lineamientos Generales sobre la Defensa de las Audiencias ","Lineamientos"
"Lineamientos Generales sobre la Defensa de las Audiencias (Lineamientos)","Lineamientos Generales sobre la Defensa de las Audiencias ","Lineamientos"
"Lineamientos Generales sobre la Defensa de las Audiencias (Lineamientos)","Lineamientos Generales sobre la Defensa de las Audiencias ","Lineamientos"
"Lineamientos Generales sobre la Defensa de las Audiencias (Lineamientos)","Lineamientos Generales sobre la Defensa de las Audiencias ","Lineamientos"
"Lineamientos Generales sobre la Defensa de las Audiencias (Lineamientos)","Lineamientos Generales sobre la Defensa de las Audiencias ","Lineamientos"
"El Pleno del Instituto Federal de Telecomunicaciones (Instituto)","El Pleno del Instituto Federal de Telecomunicaciones ","Instituto"
"Ley Federal de Competencia Económica (LFCE)","Ley Federal de Competencia Económica ","LFCE"
"Ley General de Transparencia y Acceso a la Información Pública ("LGTAIP”)","Ley General de Transparencia y Acceso a la Información Pública ",""LGTAIP”"
"Secretaría de Comunicaciones y Transportes (la “Secretaría”)","Secretaría de Comunicaciones y Transportes ","la “Secretaría”"
"Comisión Federal de Telecomunicaciones (la “Comisión”)","Comisión Federal de Telecomunicaciones ","la “Comisión”"
"“Decreto por el que se reforman y adicionan diversas disposiciones de los artículos 6o., 7o., 27, 28, 73, 78, 94 y 105 de la Constitución Política de los Estados Unidos Mexicanos, en materia de telecomunicaciones” (el “Decreto de Reforma Constitucional”)","“Decreto por el que se reforman y adicionan diversas disposiciones de los artículos 6o., 7o., 27, 28, 73, 78, 94 y 105 de la Constitución Política de los Estados Unidos Mexicanos, en materia de telecomunicaciones” ","el “Decreto de Reforma Constitucional”"
"Instituto Federal de Telecomunicaciones (el “Instituto”)","Instituto Federal de Telecomunicaciones ","el “Instituto”"
"“Decreto por el que se expiden la Ley Federal de Telecomunicaciones y Radiodifusión, y la Ley del Sistema Público de Radiodifusión del Estado Mexicano; y se reforman, adicionan y derogan diversas disposiciones en materia de telecomunicaciones y radiodifusión” (el “Decreto de Ley”)","“Decreto por el que se expiden la Ley Federal de Telecomunicaciones y Radiodifusión, y la Ley del Sistema Público de Radiodifusión del Estado Mexicano; y se reforman, adicionan y derogan diversas disposiciones en materia de telecomunicaciones y radiodifusión” ","el “Decreto de Ley”"
"Constitución Política de los Estados Unidos Mexicanos (la “Constitución”)","Constitución Política de los Estados Unidos Mexicanos ","la “Constitución”"
"Ley Federal de Telecomunicaciones y Radiodifusión (la “Ley”)","Ley Federal de Telecomunicaciones y Radiodifusión ","la “Ley”"
"Ley Federal de Competencia Económica (la “Ley de Competencia”)","Ley Federal de Competencia Económica ","la “Ley de Competencia”"
"Secretaría de Comunicaciones y Transportes (la “Secretaría”)","Secretaría de Comunicaciones y Transportes ","la “Secretaría”"
"“Decreto por el que se reforman y adicionan diversas disposiciones de los artículos 6o., 7o., 27, 28, 73, 78, 94 y 105 de la Constitución Política de los Estados Unidos Mexicanos, en materia de telecomunicaciones” (el “Decreto de Reforma Constitucional”)","“Decreto por el que se reforman y adicionan diversas disposiciones de los artículos 6o., 7o., 27, 28, 73, 78, 94 y 105 de la Constitución Política de los Estados Unidos Mexicanos, en materia de telecomunicaciones” ","el “Decreto de Reforma Constitucional”"
"Instituto Federal de Telecomunicaciones (el “Instituto”)","Instituto Federal de Telecomunicaciones ","el “Instituto”"
"“Decreto por el que se expiden la Ley Federal de Telecomunicaciones y Radiodifusión, y la Ley del Sistema Público de Radiodifusión del Estado Mexicano; y se reforman, adicionan y derogan diversas disposiciones en materia de telecomunicaciones y radiodifusión” (el “Decreto de Ley”)","“Decreto por el que se expiden la Ley Federal de Telecomunicaciones y Radiodifusión, y la Ley del Sistema Público de Radiodifusión del Estado Mexicano; y se reforman, adicionan y derogan diversas disposiciones en materia de telecomunicaciones y radiodifusión” ","el “Decreto de Ley”"
"Constitución Política de los Estados Unidos Mexicanos (la “Constitución”)","Constitución Política de los Estados Unidos Mexicanos ","la “Constitución”"
"Ley Federal de Telecomunicaciones y Radiodifusión (la “Ley”)","Ley Federal de Telecomunicaciones y Radiodifusión ","la “Ley”"
"Ley Federal de Competencia Económica (la “Ley de Competencia”)","Ley Federal de Competencia Económica ","la “Ley de Competencia”"
"Unidad de Cumplimiento del Instituto Federal de Telecomunicaciones (el “IFT” o “Instituto”)","Unidad de Cumplimiento del Instituto Federal de Telecomunicaciones ","el “IFT” o “Instituto”"
"Ley Federal de Telecomunicaciones y Radiodifusión (la “LFTyR”)","Ley Federal de Telecomunicaciones y Radiodifusión ","la “LFTyR”"
"Dirección General de Verificación (la “DGV”)","Dirección General de Verificación ","la “DGV”"
"Constitución Política de los Estados Unidos Mexicanos (en lo sucesivo “CPEUM”)","Constitución Política de los Estados Unidos Mexicanos ","en lo sucesivo “CPEUM”"
"Ley de Vías Generales de Comunicación (en lo sucesivo “LVGC”;)","Ley de Vías Generales de Comunicación ","en lo sucesivo “LVGC”;"
"Estatuto Orgánico del Instituto Federal de Telecomunicaciones (en lo subsecuente “Estatuto”)","Estatuto Orgánico del Instituto Federal de Telecomunicaciones ","en lo subsecuente “Estatuto”"
"Código Federal de Procedimientos Civiles (en lo sucesivo “CFPC”)","Código Federal de Procedimientos Civiles ","en lo sucesivo “CFPC”"
"Distrito Federal, (edificio alterno a la sede de este Instituto)","Distrito Federal, ","edificio alterno a la sede de este Instituto"
"Ley General de Transparencia y Acceso a la Información Pública ("LGTAIP”)","Ley General de Transparencia y Acceso a la Información Pública ",""LGTAIP”"
"Unidad de Cumplimiento del Instituto Federal de Telecomunicaciones (en adelante el “IFT” o “Instituto”)","Unidad de Cumplimiento del Instituto Federal de Telecomunicaciones ","en adelante el “IFT” o “Instituto”"
"Ley Federal de Telecomunicaciones y Radiodifusión (en lo sucesivo “LFTyR”)","Ley Federal de Telecomunicaciones y Radiodifusión ","en lo sucesivo “LFTyR”"
"Dirección General Adjunta de Vigilancia del Espectro Radioeléctrico (en adelante “DGA-VESRE”)","Dirección General Adjunta de Vigilancia del Espectro Radioeléctrico ","en adelante “DGA-VESRE”"
"Dirección General de Verificación (en lo sucesivo “DGV”)","Dirección General de Verificación ","en lo sucesivo “DGV”"
"Constitución Política de los Estados Unidos Mexicanos (“CPEUM”)","Constitución Política de los Estados Unidos Mexicanos ","“CPEUM”"
"Ley Federal de Procedimiento Administrativo (“LFPA”)","Ley Federal de Procedimiento Administrativo ","“LFPA”"
"Constitución Política de los Estados Unidos Mexicanos (en adelante “CPEUM”)","Constitución Política de los Estados Unidos Mexicanos ","en adelante “CPEUM”"
"Ley de Vías Generales de Comunicación (“LVGC”;)","Ley de Vías Generales de Comunicación ","“LVGC”;"
"Estatuto Orgánico del Instituto Federal de Telecomunicaciones (en lo sucesivo “ESTATUTO”)","Estatuto Orgánico del Instituto Federal de Telecomunicaciones ","en lo sucesivo “ESTATUTO”"
"Código Federal de Procedimientos Civiles (en lo sucesivo “CFPC”)","Código Federal de Procedimientos Civiles ","en lo sucesivo “CFPC”"
"Ciudad de México, (edificio alterno a la sede de este Instituto)","Ciudad de México, ","edificio alterno a la sede de este Instituto"
